,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1882948892.0,1648007022.0,1596009977.0,1337799931.0
Preferred Shares Number,284564527.0,353564532.0,353564541.0,381764541.0
Ordinary Shares Number,3598862582.0,3833804452.0,3885801497.0,4144011543.0
Share Issued,5481811474.0,5481811474.0,5481811474.0,5481811474.0
Net Debt,,36213000000.0,,
Total Debt,219471000000.0,195392000000.0,173907000000.0,225587000000.0
Tangible Book Value,132604000000.0,125126000000.0,133969000000.0,129387000000.0
Invested Capital,385739000000.0,356149000000.0,341430000000.0,389103000000.0
Net Tangible Assets,152052000000.0,144574000000.0,154026000000.0,150523000000.0
Capital Lease Obligations,19000000.0,22000000.0,26000000.0,28000000.0
Common Stock Equity,166287000000.0,160779000000.0,167549000000.0,163544000000.0
Preferred Stock Equity,19448000000.0,19448000000.0,20057000000.0,21136000000.0
Total Capitalization,393304000000.0,355075000000.0,348269000000.0,397602000000.0
Total Equity Gross Minority Interest,187443000000.0,182213000000.0,190110000000.0,185712000000.0
Minority Interest,1708000000.0,1986000000.0,2504000000.0,1032000000.0
Stockholders Equity,185735000000.0,180227000000.0,187606000000.0,184680000000.0
Other Equity Interest,,-429000000.0,-646000000.0,-875000000.0
Gains Losses Not Affecting Retained Earnings,-11580000000.0,-13362000000.0,-1702000000.0,194000000.0
Other Equity Adjustments,-11580000000.0,-13362000000.0,-1702000000.0,194000000.0
Treasury Stock,92960000000.0,82853000000.0,79757000000.0,67791000000.0
Retained Earnings,201136000000.0,187968000000.0,180322000000.0,162683000000.0
Additional Paid In Capital,60555000000.0,60319000000.0,60196000000.0,60197000000.0
Capital Stock,28584000000.0,28584000000.0,29193000000.0,30272000000.0
Common Stock,9136000000.0,9136000000.0,9136000000.0,9136000000.0
Preferred Stock,19448000000.0,19448000000.0,20057000000.0,21136000000.0
Total Liabilities Net Minority Interest,1745025000000.0,1698807000000.0,1757958000000.0,1767199000000.0
Derivative Product Liabilities,18495000000.0,20067000000.0,9424000000.0,16509000000.0
Non Current Deferred Liabilities,,,2787000000.0,4690000000.0
Non Current Deferred Taxes Liabilities,,,2787000000.0,4690000000.0
Long Term Debt And Capital Lease Obligation,207588000000.0,174870000000.0,160689000000.0,212950000000.0
Long Term Capital Lease Obligation,19000000.0,22000000.0,26000000.0,28000000.0
Long Term Debt,207569000000.0,174848000000.0,160663000000.0,212922000000.0
Current Debt And Capital Lease Obligation,11883000000.0,20522000000.0,13218000000.0,12637000000.0
Current Debt,11883000000.0,20522000000.0,13218000000.0,12637000000.0
Other Current Borrowings,11883000000.0,20522000000.0,13218000000.0,12637000000.0
Payables And Accrued Expenses,,69056000000.0,70957000000.0,74360000000.0
Current Accrued Expenses,,69056000000.0,70957000000.0,74360000000.0
Total Assets,1932468000000.0,1881020000000.0,1948068000000.0,1952911000000.0
Investments And Advances,480202000000.0,534290000000.0,597113000000.0,561215000000.0
Held To Maturity Securities,262576000000.0,297059000000.0,272022000000.0,205720000000.0
Available For Sale Securities,28639000000.0,27835000000.0,37214000000.0,30126000000.0
Trading Securities,53214000000.0,86133000000.0,102437000000.0,98127000000.0
Long Term Equity Investment,10248000000.0,9669000000.0,8196000000.0,6850000000.0
Goodwill And Other Intangible Assets,33683000000.0,35653000000.0,33580000000.0,34157000000.0
Other Intangible Assets,8508000000.0,10480000000.0,8400000000.0,7765000000.0
Goodwill,25175000000.0,25173000000.0,25180000000.0,26392000000.0
Net PPE,18236000000.0,17977000000.0,18558000000.0,20592000000.0
Accumulated Depreciation,,,-12679000000.0,-12495000000.0
Gross PPE,18236000000.0,17977000000.0,18558000000.0,33087000000.0
Leases,,,2597000000.0,2597000000.0
Other Properties,18236000000.0,17977000000.0,18558000000.0,11729000000.0
Machinery Furniture Equipment,,,7420000000.0,7449000000.0
Buildings And Improvements,,,9442000000.0,9504000000.0
Land And Improvements,,,1759000000.0,1808000000.0
Receivables,53724000000.0,44363000000.0,39305000000.0,58824000000.0
Other Receivables,19250000000.0,17247000000.0,16524000000.0,17870000000.0
Accounts Receivable,34474000000.0,27116000000.0,22781000000.0,40954000000.0
Other Short Term Investments,125525000000.0,113594000000.0,177244000000.0,220392000000.0
Cash And Cash Equivalents,237219000000.0,159157000000.0,234230000000.0,264612000000.0
Cash Financial,33026000000.0,34596000000.0,24616000000.0,28236000000.0
Cash Cash Equivalents And Federal Funds Sold,317675000000.0,227193000000.0,300453000000.0,330284000000.0
